224.228 63.1516 5.70489 0.130197 3.69274 3.32639 4.14224 411.5 176.313
177.424 78.3783 12932.1 -34248.9 116078 4.66496 32.5551 139 73.2061
173.611 90.3303 550.551 29.5217 343.652 4.28842 5.48132 69 -7.96369
172.301 109.543 1129.56 -36.4952 929.962 5.70614 6.32876 105 -169.957
159.531 132.405 1822.26 530.38 1739.42 5.84656 7.95643 121 137.233
272.457 200.778 43.9252 7.98011 26.4339 9.63443 13.6744 32.5 158.81
265.929 83.6176 6.9262 -0.724027 2.64054 3.14599 5.25863 47.5 369.335
331.198 79.1159 7.14765 -0.973593 2.30631 2.87263 5.34644 21.5 190.955
410.545 58.1935 7.32469 -0.422487 2.81347 3.26631 5.32157 86.5 365.304
422.74 162.811 13.3274 -0.276566 7.37633 5.18797 6.98291 27.5 182.655
497.025 199.572 9.2496 -0.618093 6.04728 4.77527 5.99986 52.5 370.554
500.776 150.753 4720.86 -79.3333 1695.78 5.99466 10.0104 126 1.50122
477.449 119.067 11.401 -0.627524 4.50951 4.16937 6.68807 96 365.161
